cik,company Name
1198988,SHARP DOUGLAS S
1199004,FEDERATED PREMIER MUNICIPAL INCOME FUND
1199009,GALANTE EDWARD G
1199012,GREENWOOD RANDALL M
1199037,GAITHER JAMES C
1199038,STRANGE J LELAND
1199039,STEVENS MARK A
1199045,RODKIN GARY M
1199046,UNIFIED SERIES TRUST
1199051,EVERSON SCOTT A
1199084,ROLFS STEPHEN J
1199095,JIMENEZ JOSEPH
1199099,STEIN LAURA
1199100,WINKLEBLACK ARTHUR B
1199102,JOHNSON SABRINA MARTUCCI
1199104,GENDREAU R MICHAEL
1199190,LOSH J MICHAEL
1199199,PAULSON ROBERT D
1199206,SHAMES ERVIN R
1199207,VALETTE JEAN MICHEL
1199246,SCUDDER MICHAEL L
1199292,BONFIELD ANDREW R J
1199294,LEUNG SANDRA
1199297,MITCHELL DEAN J
1199310,NUSSBAUM SAMUEL R MD
1199318,TROUT RONALD PAUL
1199348,BNY MELLON STOCK FUNDS
1199359,ALTABEF PETER
1199360,CHAMPY JAMES
1199367,NICHOLSON PAMELA M
1199394,GIORDANO ANTHONY III
1199406,RAYNOR GEOFFREY
1199412,SIMON JOHN R
1199421,CLEMENS PETER J IV
1199425,PAYNE BARBARA A
1199429,HARPER PETER W
1199441,SHIELDS MARIA T
1199456,BRU ABELARDO E
1199461,CONWAY JOHN W
1199469,LOLIGER HANS J
1199474,DEUTSCHE ALT-A SECURITIES INC
1199487,AICHELE WILLIAM S
1199501,HORRIGAN D GREG
1199502,SILVER R PHILIP
1199503,ALLOTT ANTHONY J
1199506,HOGAN FRANK W III
1199536,MACALUSO CHARLES
1199539,FEES JOHN A
1199543,NESSER JOHN T III
1199552,TISHMAN STEVEN
1199569,MELLOR ROBERT E
1199579,BRUNE CATHERINE S
1199590,CLABAUGH CHAD M
1199625,LILLY E STEPHEN
1199628,STAFFORD WILLIAM P II
1199637,THERO JOHN F
1199668,ROGERS STEVEN G
1199669,LOEB MARSHALL A
1199723,SUN ANTHONY
1199735,CRAWFORD SALLY
1199794,CORRELL DONALD L
1199796,COSCIA ANTHONY R
1199807,LABOZZETTA ANTHONY J
1199820,GILES WILLIAM T
1199833,DERODES ROBERT P
1199870,NELSON STEVEN K
1199872,PAGE G RUFFNER JR
1199894,NELSON MARILYN C
1199896,"CUSHMAN & WAKEFIELD SECURITIES, INC."
1199914,VAN SAUN BRUCE
1199915,Goodman Shira
1199925,TABORS R DAVID
1199926,TOBIN SCOTT R
1199930,MILLER HEIDI
1199936,ABDO JOHN E
1199943,LEVAN ALAN B
1199944,LEVAN JARETT
1199946,WINNINGHAM CHARLIE C II
1199975,POITEVINT ALEC II
1200003,EVANS IVOR J
1200010,KORALESKI JOHN J
1200086,GAMACHE BRIAN R
1200097,HARPER JACK F
1200124,KING ROBERT J JR
1200138,FRANKLIN TEMPLETON INVESTMENT MANAGEMENT LTD
1200178,TERRA CAPITAL MARKETS LLC
1200182,SMITH JOANNE C DR
1200218,GEMMILL ELIZABETH H
1200231,KELLY ANASTASI D
1200232,LACY ALAN J
1200244,HARSHMAN RICHARD J
1200246,ROSE MATTHEW K
1200250,BEAM S CRAIG
1200277,WOLFF JARED M
1200284,SCHROEDER SCOTT C
1200286,HUTTON JEFFREY W
1200289,MERGANSER CORE PLUS BOND FUND LLC
1200312,RIGGS MEL G
1200326,ELLIS LARRY LEE
1200368,OHANA ISSACHAR
1200375,"CODEXIS, INC."
1200390,GERSHWIND ERIK
1200435,NICHOLAS COLOMBE M
1200438,Drawbridge Special Opportunities Fund LP
1200461,TANNENBAUM LEONARD M
1200465,FERNANDEZ PHILLIP M
1200469,YEAMAN KEVIN J
1200482,LUDWICK ANDREW K
1200493,PUHY DOROTHY E
1200497,RIESBECK RICHARD L
1200507,DILLON LARRY G
1200509,ROBINSON PAUL C
1200512,CHERRY THOMAS F
1200519,HUDSON JAMES H III
1200553,REITMAN ALAYNE L
1200555,Smith Hudson
1200604,BRESSLER RICHARD J
1200665,FOGAL CHRISTOPHER E
1200676,BUSQUET ANNE
1200685,ADKERSON RICHARD C
1200687,WHITMIRE C DONALD JR
1200742,Jones Blackhurst Janis L
1200744,MCDUFFIE ANTHONY D
1200747,SATRE PHILIP G
1200753,WILMOTT TIMOTHY J
1200796,PFENNIGER RICHARD C JR
1200799,ARMSTRONG WILLIAM H III
1200809,QUIRK KATHLEEN L
1200826,WERTHEIZER GIDEON
1200827,MACLELLAN DOUGLAS CHARLES
1200845,BELINGARD JEAN-LUC
1200847,MITTELSTAEDT ROBERT E JR
1200925,MADER MARK PATRICK
1200964,ALLEN H C JR
1200996,MCNAMARA KEVIN M
1201001,HARBOURVEST PARTNERS LLC
1201007,LADERMAN GERALD
1201025,STACK GEOFFREY L
1201028,Crate Darrell W
1201030,DALTON NATHANIEL
1201037,HUSS H FENWICK
1201045,MORITZ MICHAEL J
1201054,PRESSLER PAUL S
1201056,DOMINSKI MATTHEW
1201066,BERGERON STEPHANIE W
1201067,KRAMER RICHARD J
1201081,STRATEGIC VALUE RESTRUCTURING FUND LP
1201087,CORDEIRO EDUARDO E
1201094,NOGLOWS WILLIAM P
1201096,GORMAN KEVIN CHARLES
1201101,BABSON STEPHEN E
1201150,CAMPBELL KEITH S
1201156,DAVIS MICHAEL A /
1201176,KELLY MICHAEL P
1201177,CODD RONALD E F
1201187,WICKS FRANK
1201191,HARTNETT-DEVLIN SHEILA
1201198,MARTIN RUBEN S
1201199,DONAHUE TIMOTHY J
1201202,MASSEY C SCOTT
1201232,BROWN GREGORY Q
1201236,NG DOMINIC
1201241,MUNIO DAVID J
1201245,Flanagan Glenda J
1201248,OMAN MARK C
1201254,COLLIER EARL M JR
1201260,ABRAHAMSON JAMES R
1201277,SMITH JAMES COPENHAVER
1201280,STALL JOHN A
1201282,OLIVERA ARMANDO J
1201289,MEHMEL ROBERT F
1201320,FADEL MITCHELL E
1201326,GANDHI SAMEER K
1201328,DUNN TERRENCE P
1201333,SUBIN NEIL S
1201351,KAPLAN RONALD W
1201379,DELAWDER DAN
1201390,ANDERSON MICHAEL J
1201392,TAYLOR RICK
1201394,TRAUTMAN DAVID L
1201412,PRABHU KRISH A
1201428,ARMES ROY V
1201447,CARFORA JEFFREY J
1201459,MOODY JOHN S
1201466,HELFAND DAVID
1201490,CORDANO MICHAEL D
1201491,WELLBORN CHISTOPHER
1201515,SYLVESTER EDWARD B
1201516,THORSON JOHN A
1201520,TUFANO PAUL J
1201539,Hill Craig D
1201565,BRANNEN JAMES
1201579,DESOCIO JAMES F
1201580,COLELLA SAMUEL D
1201583,HALEY TIMOTHY M
1201592,YANG GEOFFREY Y
1201619,SHERMAN STEVEN
1201623,GETZ ROBERT
1201624,ROSSI MARK
1201633,SAMUELI HENRY
1201642,KOBYLINSKI BRIAN
1201666,LEVY RICHARD
1201700,BYRD CAROLYN H
1201701,MANN BRUCE
1201702,LIMON ZVI
1201715,BAKER G LEONARD JR
1201719,SANDS GREGORY P
1201720,WHITE JAMES N
1201723,HOOPER MICHELE J
1201725,MULCAHY ANNE M
1201728,GRIFFITH JOHN D
1201756,SCHLANGER MARVIN O
1201759,REESE STUART HARRY
1201762,FALCONE MICHAEL L
1201787,MOYER K LEON
1201792,AMERICAN PUBLIC EDUCATION INC
1201812,ALAMEDDINE A R
1201821,STICKELS ERIC
1201830,ROBERTS LORI G
1201852,BOXLEY ABNEY S III
1201872,ROCHE VINCENT
1201880,MANEY JOHN C
1201881,POLI FRANCIS C
1201933,FOSHEE DOUGLAS L
1201935,BANK OF NEW YORK / ADR DIVISION
1201938,TEMPLETON MARK B
1201982,OBRIEN JOHN F
1201984,THOMAS LYDIA W
1201997,ROGERS MARK N
1202005,DAY TIMOTHY H
1202045,WL ROSS & CO LLC
1202048,VALIC RETIREMENT SERVICES CO
1202058,ANDERSON DARREL T
1202079,TINSTMAN ROBERT A
1202089,COHEN CHARLES
1202095,MARCHESI VINCENT T
1202096,MORRISSEY MICHAEL
1202098,PAPADOPOULOS STELIOS
1202102,SCANGOS GEORGE A
1202111,VAN CAMP PETER
1202197,GRAHAM ROBERT D
1202198,DUNHAM DUANE
1202205,DOTI  JAMES L
1202207,JACOBS DOUGLAS C
1202212,STOWELL SCOTT D
1202231,Lauer Len J
1202238,TURICCHI R SCOTT
1202252,JACKSON LABAN
1202283,DIXON WENDY L
1202285,HAYDEN DONALD J JR
1202287,HARRIS ISAIAH JR
1202325,HALDEMAN CHARLES E
1202358,DURCAN DERMOT MARK
1202362,LEWIS RODERIC W
1202378,ROBB JEFFERY A
1202388,GEORGE KELLY W
1202390,STEINER EDDIE L
1202391,BAKER ROBERT K
1202404,KEENER LARRY
1202423,KROES NEELIE
1202424,FOTIADES GEORGE L
1202433,LYONS IRVING F III
1202435,LEVITAN DAN
1202443,CHAFFIN JANICE
1202481,LENEHAN PAMELA F
1202499,BERENS RODNEY B
1202527,GORDON MARC D
1202529,WEST MICHAEL D
1202532,THOMPSON JOHN R
1202540,COVEY MICHAEL J
1202543,HOLLEY RICK R
1202548,MOGHADAM HAMID R
1202590,MAST DARRYL E
1202671,DELANEY TIMOTHY E
1202719,BABB RALPH W JR
1202722,BOYLE DAVID P
1202734,DALTON BEVERLEY E
1202770,CARUSO JAMES V
1202784,CRAWFORD JOHN JOSEPH
1202785,DOBMEIER ERIC
1202793,POWELL MICHAEL
1202795,MICHAEL R KALLET
1202817,BOULET VIRGINIA
1202822,EWING R STEWART JR
1202824,HANKS WILLIAM BRUCE
1202860,POST GLEN F III
1202861,PUCKETT KAREN A
1202862,SCOTT SAMUEL C III
1202886,KELLNER LAWRENCE W
1202894,ANDRINGA MARY VERMEER
1202921,VOLKEMA MICHAEL A
1202922,WALKER BRIAN C
1202932,NESSELROAD MARK R
1202958,SCHWAB SUSAN C
1202967,CHOU TIMOTHY C K
1202988,LUND VICTOR L
1203060,DOBROWSKI THOMAS E
1203072,RIEPE JAMES S
1203074,ROGERS BRIAN C
1203079,GUILLET EDWARD E
1203086,HABERLI ERNST A
1203089,LANE KATHY S
1203097,SHIRLEY EDWARD D
1203100,LEWIS JOHN D
1203103,BRYANT DAVID J
1203104,CORADINO JOSEPH F
1203117,KISTINGER ROBERT F
1203119,DAY C SEAN
1203122,PYNE J H
1203226,HEINRICH DANIEL J
1203227,SGNILEK LES
1203228,SPRINGER MARY BETH
1203249,FITZSIMMONS ELLEN M
1203254,GOODWIN PAUL R
1203301,WENTZ MYRON W
1203302,FULLER GILBERT A
1203306,SCHLENKER RICHARD L JR
1203342,AUCIAUX ROBERT
1203346,IIEKKING G DOUG
1203367,LUSTIG MATTHEW J
1203375,KRALL DAVID
1203406,MAY A JOHN III
1203410,ZARRILLI STEPHEN T
1203422,ROBERTS DAVID N
1203448,ALFANO MICHAEL C
1203464,IAMGOLD CORP
1203467,LIU VIVIAN H
1203475,BLUNDIN DAVID B
1203479,RICKERTSEN CARL J
1203500,BRADLEY RICHARD TODD
1203501,MOORE DAVID T
1203507,HENNESSY SEAN P
1203523,MORIKIS JOHN G
1203526,SCAMINACE JOSEPH
1203539,DAVIS ALISON
1203547,VASSALLUZZO SCOTT J
1203561,KANE CHARLES
1203567,OBOYLE KEVIN C
1203598,FREYDBERG RONALD A
1203603,STOVER JACK E
1203607,DREYER DAVID C
1203645,CHIDONI ANTHONY
1203666,KLEPPER KENNETH O
1203671,MCCARTHY GLORIA M
1203674,KRUSZEWSKI RONALD J
1203675,ZEMLYAK JAMES M
1203688,TERRELL FREDERICK
1203689,KIRSNER JAMES
1203691,Fascitelli Michael D
1203692,SLINEY DAVID D
1203694,BURKE STEPHEN B
1203695,COHEN DAVID L
1203700,BONOVITZ SHELDON M
1203721,CALHOUN KIRK K
1203743,LETTES MARK A
1203751,FLEISHMAN STANLEY
1203783,BUCHANAN EDISON C
1203784,CHEATWOOD CHRIS J
1203845,TANZ STUART A
1203847,VAUGHN ROBERT C
1203861,PRIM JOHN F
1203864,WILLIAMS KEVIN D
1203892,JOHNSON J THOMAS
1203911,ROSENTHAL BOB
1203939,HILARIO EMANUEL N
1203980,BATTLE A GEORGE
1203997,MANOS KRISTEN L
1204015,SOMERS KIRK
1204034,KHILNANI VINOD M
1204048,JASINOWSKI JERRY J
1204059,THURMAN RANDY H
1204080,Keller Robert J
1204084,SCRUGGS FRANK P JR
1204097,TOOKES HANSEL E II
12040,FLANIGANS ENTERPRISES INC
1204117,BACON KENNETH J
1204118,CROSBY RALPH D JR
1204119,DUCOMMUN ROBERT C
1204124,REID CAROL L
1204130,Berkshire Global Advisors LP
1204188,DAVIES JOHN B
1204198,TEMPLETON D JEFFREY
1204200,MAHONEY CORNELIUS D
1204216,THOMAS DENNIS
1204218,SHIREMAN MICHAEL L
1204219,FREDERICK CHRIS
1204222,HARROD WILLIAM W
1204230,SHIREMAN MARK D
1204265,OBRIEN MORGAN K
1204281,WAMPLER KEVIN S
1204288,LYONS ROBERT C
1204289,MUCKIAN WILLIAM M
1204334,HOBSON ANDREW W
1204350,PHEAA STUDENT LOAN FOUNDATION INC
1204372,DOLAN JANET M
1204375,BURNS GORDON M
1204413,POINTS INTERNATIONAL LTD
1204424,CARNEY LLOYD
1204432,KRIENS SCOTT
1204455,SPEYER W KIP
1204482,GEHMAN WILLIAM A III
1204506,FARLEY CLAIRE S
1204517,TRICE DAVID A
1204526,GARRISON KAREN M
1204528,HENKEL HERBERT L
1204532,KISSNER MATTHEW S
1204538,MOSS SARA E
1204540,TORSONE JOHNNA G
1204543,JACKSON LAWRENCE V
1204551,MUSSALLEM MICHAEL A
1204553,WANG HUIMIN
1204554,WOODGRIFT RANDEL WILLIAM
1204559,Crum Scott A
1204569,REDSTONE SHARI
1204576,TOMKINS MARK E
1204586,BURRITT DAVID B
1204612,JESSUP R JUDD
1204626,EGLIN T WILSON
1204627,CARROLL PATRICK
1204640,BENSTOCK MICHAEL
1204644,DEMOTT ANDREW D JR
1204651,APOLIONA HAUNANI S
1204654,SCHERMERHORN TODD C
1204666,RING TIMOTHY M
1204676,TANABE BARBARA J
1204679,WO ROBERT W JR
1204692,SEI TRUST CO
1204700,WRIGHT CHRISTOPHER
1204704,DIETRICH MARTIN A
1204712,SANTANGELO JOSEPH A
1204724,OWENS WILLIAM L
1204731,SCHOTTENSTEIN ROBERT H
1204733,CREEK PHILLIP G
1204787,MEANWELL CLIVE
1204788,STACK DAVID M
1204816,BIDZOS D JAMES
1204818,EVAN DANA L
1204825,MOORE ROGER H/CA
1204831,LAU JOANNA T
1204872,BROUCEK JAMES S
1204875,DAHL CRAIG R
1204899,GRAYSON BRUNS H
1204903,BLESS MICHAEL A
1204938,WILLIAMS FRANK J
1204946,ZUMWALT LEANNE M
1204973,BYRNE TIMOTHY W
1204974,WINKEL THOMAS J
1204981,DENNIS PATRICIA DIAZ
1204987,JOHNSON JOIA M
1205002,SCOVANNER DOUGLAS A
1205003,BLOCK KEITH
1205004,Storch Gerald L
1205005,CATZ SAFRA
1205008,COOPERMAN DANIEL
1205014,VAN LUNSEN GIL J
1205021,HUDSON DEAL W
1205025,COWAN GREGORY L
1205048,WANDELL KEITH E
1205054,Kinney Catherine R
1205069,WEHRWEIN SVEN
1205073,GEORGE WILLIAM III
1205111,COLE DAVID C
1205121,HOFFMAN JAMES E III
1205130,THOMPSON RICHARD B
1205132,WOOFTER TIMOTHY K
1205158,HEIM STEPHANIE G
1205159,BROWN JOSEPH W
1205167,LAROCCO MICHAEL
1205179,TALBOT RANDALL H
1205181,"Grapefruit USA, Inc"
1205189,PELLETIER LIANE J
1205202,ADIK STEPHEN P
1205236,WALT DAVID R
1205242,DITMORE ROBERT K
1205249,PRYOR DANIEL A
1205260,COMAS DANIEL L
1205264,KNISELY PHILIP
1205268,ALLENDER PATRICK W
1205300,EHRLICH DONALD J
1205324,LITTLE WILLIAM G
1205378,MURPHY DIANA M
1205395,IHLENFELD JAY V
1205398,STAKE JAMES B
1205405,BERMAN STEVEN L
1205411,DEAL RICHARD
1205426,TAYLOR MARGARET
1205447,FETTER TREVOR
1205449,FARBER STEPHEN D
1205451,SCHOLTEN GARY P
1205534,NORWOOD RALPH M
1205542,BROWN MICHAEL W
1205561,DILLARD ALLEN E
1205564,HAUPTFUHRER W BARNES
1205623,ROLL PENELOPE F
1205624,ROSS EDWARD H
1205692,DRAGG RONALD A
1205693,STRAHAN DORMAN LYNN
1205700,WoodmenLife Variable Annuity Account
1205703,CAGNONI PABLO J
1205706,CHOKSI MARY C
1205719,PERMIT CAPITAL FUND L P
1205731,LABORDE JOHN PETER
1205771,ABRAHAM ALLISON H
1205790,BELOHOUBEK KLAUS M
1205793,HORNE TIMOTHY R
1205799,WINTERMANTEL THOMAS G
1205824,DRAWBRIDGE SPECIAL OPPORTUNITES FUND LTD
1205871,ROTH MICHAEL ISOR
1205885,MARTIN WILLIAM C
1205903,RASTETTER WILLIAM H
1205922,"VACCINEX, INC."
1205935,DAVIS RICHARD L
1205936,ALLEN ANTHONY C
1205937,JOHNSON DAVID D
1205943,HAYES JOHN A
1205945,MORRISON SCOTT C
1205948,WESTERLUND DAVID A
1205956,GALLAGHER JOHN J III
1205976,ROEDEL RICHARD
1205979,VERHALEN ANDREW W
1205983,MOORE COLIN
1206046,CURLING DOUGLAS C
1206060,WADE MARTIN R III
1206104,BERG JEFFREY
1206109,BERMAN MARC H
1206124,CHEN LEE
1206129,BYNOE LINDA
1206151,FINE GERALD J
1206155,MILLER JOSEPH A
1206158,WEEKS WENDELL P
1206199,WELCH DANIEL G
1206253,BUTLER STEPHEN G
1206258,"T.S. PHILLIPS INVESTMENTS, INC."
1206259,BBR ABSOLUTE RETURN LTD
1206264,"TEMPUR SEALY INTERNATIONAL, INC."
1206267,WILKINSON ELIZABETH T
1206278,SNOW CAPITAL INVESTMENT PARTNERS LP
1206304,BRANCH SCOTT J
1206313,BRADFORD NEIL
1206333,ALLSTATE INVESTMENTS LLC
1206394,SAFADY EDWARD Z
1206399,THOMPSON SCOTT L
1206491,DENAPLES LOUIS A
1206513,ROPER MARTIN F
1206514,KROGER KEVIN G
1206559,MCDONALD PATRICK R
1206561,STRUZESKI KEVIN D
1206562,BROWN RONALD D
1206587,COVIELLO ARTHUR W JR
1206595,CRANDALL ROBERT L
1206600,OGARA WILFRED T
1206614,CAMPE STEPHEN M
1206630,DUNKELBERG WILLIAM C
1206636,TOKARZ MICHAEL T
1206661,DALEY CHARLES J JR
1206663,HIMELFARB RICHARD J
1206664,KOERNER JOHN E III
1206671,SCHMOKE KURT L
1206673,SULLIVAN JOSEPH A
1206682,FOGARTY PATRICK W
1206684,ROMNEY RONNA
1206689,MARSHALL SIRI S
1206690,PEEL MICHAEL A
1206700,BALEDGE LES R
1206709,CHRISTENSEN CRAIG L
1206714,COLLINGSWORTH JAMES M
1206715,Enterprise Products Co
1206752,SALAMONE DENIS J
1206775,PFEIFFER MICHAEL R
1206776,MEURER PAUL M
1206792,DEARBORN PARTNERS LLC
1206828,H LUNDBECK A S
1206861,WHYTE BETTINA M
1206869,ROBIN HOWARD W
1206872,USMAN NASSIM
1206876,BLAZER RANDOLPH C
1206882,MOHEBBI AFSHIN
1206884,MCGEARY RODERICK C
1206906,ANDRASICK JAMES S
1206908,FOWKE BENJAMIN G S III
1206909,CHING MEREDITH J
1206911,COX MATTHEW J
1206921,DODS WALTER A JR
1206928,KURIYAMA STANLEY M
1206942,GOLDEN GRAIN ENERGY
1206946,YOUNG LARRY D
1206964,BERTOCCI DEREK A
1206969,KHAYAT ROBERT C
1206986,PETERSMEYER GARY S
1206990,RUNKEL JOHN F JR
1206994,SPRIESER JUDITH A
1207002,MYERS FRANKLIN
1207017,LAZARD ASSET MANAGEMENT LLC
1207044,STEINMETZ HENRI
1207051,JOHNSON JAY L
1207074,VIRTUSA CORP
1207114,SHANNON TIMOTHY M
1207117,MILLER CHERYL
1207131,HUTTON THOMAS C
1207134,LEE SPENCER S
1207137,MCNAMARA KEVIN J
1207140,WALSH GEORGE J III
1207142,WOOD FRANK E
1207179,GOLAR LNG LTD
1207196,TEDESCHI BRIAN S
1207211,KETCHUM RICHARD G
1207218,WEISEL THOMAS W
1207220,SEKSAY EDWARD H
1207221,SHEAHAN DENIS K
1207229,MOORE DAN T III
1207245,THE SPARTAN GROUP
1207269,RILEY BRYANT R
1207292,BOSOWSKI EDWARD M
1207299,FLEMING RICHARD H
1207300,HOLLEY JEAN K
1207304,METCALF JAMES S
1207351,COTRONEO FRANK J
1207365,SHULMAN BECKY S
1207371,YABUKI JEFFERY W
1207384,NEWBERRY THOMAS L V
1207394,IGER ROBERT A
1207403,VARON LESLIE F
1207406,LARSON GLORIA C
1207409,BANC OF AMERICA MORTGAGE SECURITIES INC
1207430,BEDOYA JOSE H
1207433,THOMPSON JOHN WENDELL
1207459,FREAR DAVID J
1207515,BGSA LLC
1207562,SMITH GERALD B
1207568,STAFFORD PAULA B
1207576,PICKENS ERIN D
1207606,NUTTALL SCOTT C
1207618,JOHNSON ALLISON
1207620,JOSHI VYOMESH
1207622,LIVERMORE ANN M
1207632,KNOWLING ROBERT E JR
1207633,ANIDO VICENTE JR
1207637,PAPERIN STEWART J
1207638,BOTHWELL IAN T
1207669,GARNREITER MICHAEL
1207691,CASEY THOMAS W
1207696,McDonald R Bruce
1207712,CLOUGH PHILLIP A
1207720,CAMPBELL WILLIAM B
1207741,LIPPARELLI MARK A
1207790,KLAUSNER ARTHUR J
1207792,MORE ROBERT J
1207819,"GROSSMONT SURGERY CENTER, L. P."
1207821,AQUILINA ROBERT M
1207827,ELLIS DANIEL E
1207838,FIRESTONE JAMES A
1207843,OTIS BILL D
1207854,BATRACK DAN L
1207858,SHEPHARD JOEL R
1207897,SPINNER STEVEN
1207928,DONNELLY WILLIAM P
1207929,FILLIOL OLIVER A
1207951,MURPHY W TAYLOE JR
1207955,GRAHAM KRISTIANE C
1207969,PEAY D ANTHONY
1208018,HEAVIN TODD A
1208040,MCDONALD ELAINE L
1208044,RUDY IRVIN ROBERT
1208099,ANDREOTTI LAMBERTO
1208109,GRAVES GREGORY B
1208115,"GLEN EAGLE WEALTH, LLC"
1208116,"BACKSTROM MCCARLEY BERRY & CO., LLC"
1208120,"CW SECURITIES, LLC"
1208133,MERGER FUND VL
1208200,MEDINA DANIEL A
1208204,ROBERTS VIRGIL P
1208226,CARROLL WILLIAM J
1208236,COLOMBATTO MARTIN J
1208239,LAMMTENNANT JOAN M
1208241,RUE WILLIAM M
1208247,MURPHY GREGORY E
1208252,CM ADVISORS FAMILY OF FUNDS
1208261,IMMUNE PHARMACEUTICALS INC
1208282,GRASBERGER F NICHOLAS  III
1208283,GREENFIELD DAVID W
1208315,DELANEY EUGENE A
1208317,SIMS JAMES K
1208323,LYNCH THOMAS J
1208332,ZAFIROVSKI MIKE S
1208344,PUGH DAVID L
1208352,HUGHES MARTIN P
1208353,Stark Jack
1208383,MODDELMOG HALA G
1208385,TANENBAUM ALLAN J
1208389,MADDUX FRANKLIN W
1208391,HALEY JEFFREY V
1208396,HALEY MICHAEL P
1208397,BLAIR FRED A
1208406,VAN BEVER DEREK C M
1208414,DOOLEY THOMAS E
1208424,DiNunzio Joseph A
1208427,SPACHT DAVID B
1208428,TAYLOR DIAN C
1208429,THAEDER JOHN M
1208430,WYER WILLIAM C
1208431,ADAMS ASSET ADVISORS LLC
1208442,DYCK MARTIN C
1208463,SHERRITT INTERNATIONAL Corp
1208464,MRKONIC GEORGE R JR
1208475,ARMSTRONG ALAN S
1208478,BROWN J POWELL
1208492,GREENLEAF DANIEL E
1208500,GOREVIC JASON N
1208504,BECKER DAWN M
1208529,LANE AMY B
1208541,ORDAN MARK S
1208561,WIDMANN ROGER M
1208563,KESSLER MURRAY S
1208627,TSCHIDERER MICHAEL
1208655,GENSON BRIAN S
1208673,WALDORF WILLIAM
1208677,ALPERT HENRY A
1208730,LIU TALLY C
1208747,CARDOSO CARLOS M
1208753,JACKO JOHN H
1208781,MULDER DAVID M
1208810,HOFFEN HOWARD I
1208874,STEINBERG BURT
1208906,HIGGINS JOHN L
1208907,WIGGANS THOMAS G
1208946,BENANTE MARTIN R
1208952,TYNAN GLENN E
1208954,TAYLOR STUART A II
1208993,HUDSON SHERRILL W
1209024,SANDALWOOD OVERSEAS FUND SPC LTD
1209028,Arlington Asset Investment Corp.
1209033,SMITH ELIZABETH A
1209040,BRONSON JOSEPH R
1209075,DAVIS ERROLL B JR
1209079,MCALLISTER SINGLETON B
1209120,BATKIN ALAN R
1209121,CALDABAUGH K C
1209138,KINCAID RICHARD D
1209154,EISENMAN ELAINE J
1209170,EMBLER MICHAEL J
1209172,COBB WILLIAM C
1209174,HJELM CHRISTOPHER T
1209180,KERKO DAVID M
1209181,MOMTAZEE JAMES C
1209185,JORDAN JEFFREY D
1209189,WEBB MAYNARD G JR
1209212,"J.W. COLE FINANCIAL, INC."
1209271,HENRY JEROME F JR
1209281,LECHLEITER JOHN C
1209306,JOHNSTON MICHAEL F
1209307,SEASOCK SCOTT A
1209324,COUNTRY TRUST BANK
1209366,HARRIS WALTER L
1209373,FERNANDEZ TED A
1209386,REDDY N MOHAN
1209389,GRAMPA JOHN D
1209399,SMITH CLARENCE H
1209402,RUNNELS G TYLER
1209404,Brighthouse Separate Account Eleven for Variable Annuities
1209431,AKERSON DANIEL F
1209437,ABRAHAMIAN A RICHARD
1209442,WALTER ROBERT D
1209454,KELLY ALFRED F JR
1209456,PARENT LOUISE M
1209466,INVESCO EXCHANGE-TRADED FUND TRUST
1209479,GIBBONS THOMAS P
1209480,GODRIDGE LESLIE V
1209482,HASSELL GERALD L
1209484,MERRILL NEWTON P S
1209486,MUELLER ROBERT J
1209487,PERNA THOMAS J
1209501,NYLIAC VARIABLE ANNUITY SEPARATE ACCOUNT IV
1209517,GARRETT SHARON D
1209524,KOSECOFF JACQUELINE B
1209534,SOPHIE MICHAEL J
1209599,MCADAMS JOSEPH LLOYD
1209688,FETTER ELIZABETH A
1209709,CERES TACTICAL SYSTEMATIC L.P.
1209727,GREENACRE MARTYN D
1209743,MARTIN BRADLEY
1209744,KLEIN MELVYN N
1209759,MCPHERSON JOHN D
1209785,JERRETT JACK E
1209799,SAWYER ROBIN A
1209801,LANNON CHARLES E
1209814,DAVIS BARRY E
1209831,DREILING RICHARD W
1209874,SCHUELKE KATHERINE
1209876,RIEMAN DEBORAH
1209880,FINOCCHIO ROBERT J
1209891,MCCOLLOUGH W ALAN
1209893,LICHTENDAHL KENNETH C
1209898,WEBB LARRY R
1209899,STOWE RICHARD H
1209904,LUCIA WILLIAM C
1209910,"SKYWAY CAPITAL MARKETS, LLC"
1209929,NEMETH ANDY L
1209940,TANSKI RONALD J
1209974,SZKUTAK THOMAS J
1209989,INGLIS JAY R
1209992,KRUMHOLZ MARLENE A
1210018,Rittenmeyer Ronald A
1210033,RADZIWILL JOHN
1210066,HABER PARTNERS LP
1210099,ROGERS DAVID L
1210117,OSTER SHARON M
1210123,WELLS FARGO INCOME OPPORTUNITIES FUND
1210138,"GROWTH CAPITAL SERVICES, INC."
1210198,GOLDMAN SACHS ASSET BACKED SECURITIES CORP
1210212,BARTELS ROBERT E JR
1210224,JUMPER STEPHEN C
1210228,LUTZ ROBERT S
1210230,RECUPERO ANTHONY J
1210231,LICO JAMES A
1210236,GOLDMAN INDUSTRIAL LTD
1210255,WYATT FRANK B II
1210284,VILSACK ROBERT D
1210301,DALTON JOHN H
1210399,KOEPPEL HOLLY K
1210402,GERBER MURRY
1210409,GOLDSTONE STEVEN F
1210413,DALOIA G PETER
1210415,KISSEL W CRAIG
1210427,HOWELL PETER C
1210475,LAPIDUS SIDNEY
1210476,FORTKIEWICZ VICTOR
1210484,HACHIGIAN KIRK S
1210485,WALLACE TIMOTHY G
1210488,KLEBE TERRY A
1210524,BAUER EUGENE A
